Date,Hard,Medium,Easy
2025-07-04,7850,8269,8053
2025-07-05,5230,866,3251
2025-07-06,202,4787,4388
2025-07-07,6533,4397,4451
2025-07-08,110,6632,1911
2025-07-09,5541,5646,1065
2025-07-10,1117,4273,4468
2025-07-11,8944,1076,4495
2025-07-12,7241,6469,8425
2025-07-13,677,1366,8094
2025-07-14,9114,2534,536
2025-07-15,8904,8942,6937
2025-07-16,757,1413,5466
2025-07-17,3954,3651,1771
2025-07-18,756,4102,6904
2025-07-19,1305,779,1984
2025-07-20,4903,4590,8573
2025-07-21,6516,7840,5875
2025-07-22,7266,9578,3610
2025-07-23,1545,9945,3950
2025-07-24,350,2996,531
2025-07-25,5191,5756,8521
2025-07-26,7874,1124,1979
2025-07-27,6749,8011,7094
2025-07-28,5858,4114,5699
2025-07-29,8601,630,8287
2025-07-30,4090,7631,827
2025-07-31,5509,7099,966
2025-08-01,781,5526,2278
2025-08-02,7913,4866,8177
2025-08-03,5927,5077,6242
2025-08-04,4375,936,8600
2025-08-05,9525,5693,638
2025-08-06,9530,3038,2640
2025-08-07,7760,4385,3056
2025-08-08,537,5419,944
2025-08-09,7642,9671,3218
2025-08-10,2785,8552,5331
2025-08-11,6636,8307,7499
2025-08-12,2843,7195,3301
2025-08-13,7005,4532,7004
2025-08-14,3968,8102,1136
2025-08-15,8595,8768,2609
2025-08-16,2235,6431,2271
2025-08-17,3262,497,761
2025-08-18,3288,6809,2920
2025-08-19,9101,3040,598
2025-08-20,680,4622,5543
2025-08-21,8956,5909,1212
2025-08-22,1809,7293,6374
2025-08-23,5962,5084,2891
2025-08-24,2580,9175,8115
2025-08-25,3395,9335,6057
2025-08-26,8848,9507,8647
2025-08-27,23,7367,3196
2025-08-28,5028,6512,1050
2025-08-29,1211,7053,9823
2025-08-30,3373,2917,7376
2025-08-31,3982,6378,2993
2025-09-01,4225,9329,875
2025-09-02,2868,1829,5403
2025-09-03,3154,4991,7601
2025-09-04,8694,1084,5539
2025-09-05,1998,5493,5191
2025-09-06,2878,1471,9313
2025-09-07,9549,1554,6768
2025-09-08,5686,4046,4622
2025-09-09,1298,8995,9653
2025-09-10,9286,485,5923
2025-09-11,6324,3867,5385
2025-09-12,8854,7731,6998
2025-09-13,894,2899,8697
2025-09-14,5113,5864,6901
2025-09-15,2328,4279,7640
2025-09-16,7844,9338,9781
2025-09-17,9129,9521,2653
2025-09-18,1924,7458,8280
2025-09-19,5327,2289,1167
2025-09-20,2912,1047,1450
2025-09-21,2488,5750,9516
2025-09-22,6125,5002,4293
2025-09-23,9794,2459,6049
2025-09-24,7624,3558,8208
2025-09-25,1841,1229,6793
2025-09-26,3356,2042,7845
2025-09-27,2824,1971,5336
2025-09-28,4984,7510,1028
2025-09-29,8973,8239,3903
2025-09-30,2371,589,8335
2025-10-01,8717,4081,5090
2025-10-02,9471,156,1052
2025-10-03,6889,3997,4618
2025-10-04,8340,5691,3039
2025-10-05,7862,3993,4771
2025-10-06,8875,6932,6349
2025-10-07,3781,4330,8984
2025-10-08,6575,981,2774
2025-10-09,7680,3764,2267
2025-10-10,1390,1574,9669
2025-10-11,152,5329,2715
2025-10-12,443,6544,7620
2025-10-13,173,3616,3062
2025-10-14,6915,5025,9958
2025-10-15,1108,6464,2229
2025-10-16,89,8379,1846
2025-10-17,5638,1882,8894
2025-10-18,7665,9441,4804
2025-10-19,3315,4213,4270
2025-10-20,4850,2597,1527
2025-10-21,7766,91,3322
2025-10-22,6710,9879,9185
2025-10-23,1879,3290,4513
2025-10-24,6919,9460,8733
2025-10-25,6772,4018,3580
2025-10-26,2042,7182,9504
2025-10-27,1502,8839,3494
2025-10-28,2772,5417,430
2025-10-29,5758,7882,609
2025-10-30,3558,816,4945
2025-10-31,2406,7241,2148
2025-11-01,6733,1604,1612
2025-11-02,3870,6181,6342
2025-11-03,8224,1560,2390
2025-11-04,5333,1125,7516
2025-11-05,8980,6762,366
2025-11-06,6656,2491,3443
2025-11-07,9939,1575,5358
2025-11-08,7882,8296,6917
2025-11-09,3527,2327,1828
2025-11-10,9923,2969,1139
2025-11-11,4397,2915,2770
2025-11-12,1033,6680,4094
2025-11-13,5834,2453,7139
2025-11-14,7000,2385,9337
2025-11-15,7651,9537,2606
2025-11-16,681,3513,6847
2025-11-17,764,8387,1208
2025-11-18,4676,5379,8218
2025-11-19,8315,8258,9708
2025-11-20,5059,9356,4337
2025-11-21,588,6620,1343
2025-11-22,2802,4775,593
2025-11-23,3107,8389,1841
2025-11-24,6981,5237,6758
2025-11-25,3187,7025,1027
2025-11-26,1673,6246,8534
2025-11-27,2695,6844,5910
2025-11-28,6506,8884,1229
2025-11-29,3704,6553,9893
2025-11-30,3430,7254,459
2025-12-01,5959,9407,4933
2025-12-02,3898,9310,1214
2025-12-03,4443,7166,4824
2025-12-04,9391,8508,2985
2025-12-05,4073,4256,2282
2025-12-06,9976,2949,1185
2025-12-07,9519,7037,8769
2025-12-08,4147,8335,8765
2025-12-09,261,6941,5302
2025-12-10,4410,9582,7198
2025-12-11,4368,1967,2733
2025-12-12,1359,392,9214
2025-12-13,9977,4354,4661
