Puzzle #,StartWord,Word 1,Word 2,Word 3,Word 4,EndWord,Letter 1,Letter 2,Letter 3,Letter 4,Letter 5,EasyH1a,EasyH1b,EasyH2a,EasyH2b,EasyH3a,EasyH3b,EasyH4a,EasyH4b
1,SAKE,SANE,SANS,SUNS,GUNS,GUMS,N,S,U,G,M,4E,1S,2A,1S,3N,1S,3N,4S
2,STEW,STEM,SEEM,SEAM,BEAM,BEAU,M,E,A,B,U,1S,3E,4M,3E,4M,2E,2E,4M
3,HEAR,FEAR,FEAT,FEST,FIST,LIST,F,T,S,I,L,4R,3A,2E,1F,2E,1F,4T,3S
4,VISA,VITA,PITA,PITS,PINS,SINS,T,P,S,N,S,4A,1V,2I,3T,2I,3T,4S,2I
5,YOKE,COKE,COLE,COLT,BOLT,BELT,C,L,T,B,E,3K,4E,4E,1C,1C,2O,3L,4T
6,TROY,TROT,TOOT,TORT,TART,TACT,T,O,R,A,C,3O,2R,1T,4T,2O,4T,3R,4T
7,PURE,PORE,TORE,TONE,TONG,TANG,O,T,N,G,A,4E,1P,3R,4E,2O,4E,1T,2O
8,DOLE,DALE,DARE,DARN,DAWN,DOWN,A,R,N,W,O,1D,4E,1D,4E,2A,1D,2A,4N
9,KHAN,THAN,THEN,TEEN,BEEN,BEER,T,E,E,B,R,2H,4N,2H,4N,3E,4N,3E,2E
10,BRIG,BRAG,BRAT,FRAT,FLAT,FLAK,A,T,F,L,K,1B,4G,2R,1B,2R,4T,4T,3A
11,SUED,SEED,SEEM,SEAM,SCAM,SCAR,E,M,A,C,R,1S,3E,3E,1S,2E,4M,4M,1S
12,CORY,CORE,COLE,DOLE,DOLL,DULL,E,L,D,L,U,2O,1C,1C,4E,2O,3L,2O,3L
13,STOP,STEP,STEM,SEEM,SEAM,SEAL,E,M,E,A,L,4P,2T,3E,1S,4M,3E,1S,4M
14,LACK,LACE,LICE,DICE,DIVE,DOVE,E,I,D,V,O,1L,2A,3C,4E,3C,4E,2I,1D
15,KEPT,SEPT,SEAT,FEAT,FLAT,FLAG,S,A,F,L,G,4T,3P,4T,1S,4T,3A,1F,4T
16,TIFF,RIFF,RIFE,RIPE,ROPE,NOPE,R,E,P,O,N,4F,2I,2I,1R,4E,2I,1R,3P
